Ticker_Nome;Ticker;Nome;Market
IBOV - Ibovespa;IBOV;Ibovespa;B3
ABEV3 - Ambev;ABEV3;Ambev;B3
COGN3 - Cogna;COGN3;Cogna;B3
HAPV3 - Hapvida;HAPV3;Hapvida;B3
BBDC4 - Banco Bradesco;BBDC4;Banco Bradesco;B3
ITUB4 - Itaú Unibanco;ITUB4;Itaú Unibanco;B3
GOLL4 - GOL;GOLL4;GOL;B3
MGLU3 - Magazine Luiza;MGLU3;Magazine Luiza;B3
B3SA3 - B3;B3SA3;B3;B3
CIEL3 - Cielo;CIEL3;Cielo;B3
ITSA4 - Itaúsa;ITSA4;Itaúsa;B3
VALE3 - Vale;VALE3;Vale;B3
PETR4 - Petrobras;PETR4;Petrobras;B3
CMIG4 - CEMIG;CMIG4;CEMIG;B3
AZUL4 - Azul;AZUL4;Azul;B3
ASAI3 - Assaí;ASAI3;Assaí;B3
EMBR3 - Embraer;EMBR3;Embraer;B3
EQTL3 - Equatorial Energia;EQTL3;Equatorial Energia;B3
BBAS3 - Banco do Brasil;BBAS3;Banco do Brasil;B3
AMER3 - Americanas;AMER3;Americanas;B3
RAIZ4 - Raízen;RAIZ4;Raízen;B3
SUZB3 - Suzano;SUZB3;Suzano;B3
LREN3 - Lojas Renner;LREN3;Lojas Renner;B3
RAIL3 - Rumo;RAIL3;Rumo;B3
CPLE6 - Copel;CPLE6;Copel;B3
ELET3 - Eletrobras;ELET3;Eletrobras;B3
SOMA3 - Grupo Soma;SOMA3;Grupo Soma;B3
MRVE3 - MRV;MRVE3;MRV;B3
PCAR3 - Grupo Pão de Açúcar;PCAR3;Grupo Pão de Açúcar;B3
PETZ3 - Petz;PETZ3;Petz;B3
GGBR4 - Gerdau;GGBR4;Gerdau;B3
WEGE3 - WEG;WEGE3;WEG;B3
CSAN3 - Cosan;CSAN3;Cosan;B3
CMIN3 - CSN Mineração;CMIN3;CSN Mineração;B3
RENT3 - Localiza;RENT3;Localiza;B3
BRFS3 - BRF;BRFS3;BRF;B3
CVCB3 - CVC;CVCB3;CVC;B3
BEEF3 - Minerva;BEEF3;Minerva;B3
ENEV3 - Eneva;ENEV3;Eneva;B3
IFCM3 - Infracommerce;IFCM3;Infracommerce;B3
USIM5 - Usiminas;USIM5;Usiminas;B3
SBSP3 - Sabesp;SBSP3;Sabesp;B3
RADL3 - RaiaDrogasil;RADL3;RaiaDrogasil;B3
AZEV4 - Azevedo & Travassos;AZEV4;Azevedo & Travassos;B3
JBSS3 - JBS;JBSS3;JBS;B3
RDOR3 - Rede D'Or;RDOR3;Rede D'Or;B3
PETR3 - Petrobras;PETR3;Petrobras;B3
PRIO3 - PetroRio;PRIO3;PetroRio;B3
NTCO3 - Natura;NTCO3;Natura;B3
HBSA3 - Hidrovias do Brasil;HBSA3;Hidrovias do Brasil;B3
CCRO3 - Grupo CCR;CCRO3;Grupo CCR;B3
CRFB3 - Carrefour Brasil;CRFB3;Carrefour Brasil;B3
BBDC3 - Banco Bradesco;BBDC3;Banco Bradesco;B3
AMBP3 - Ambipar;AMBP3;Ambipar;B3
TIMS3 - TIM;TIMS3;TIM;B3
CYRE3 - Cyrela;CYRE3;Cyrela;B3
ANIM3 - Ânima Educação;ANIM3;Ânima Educação;B3
POMO4 - Marcopolo;POMO4;Marcopolo;B3
CSNA3 - Siderúrgica Nacional;CSNA3;Siderúrgica Nacional;B3
MRFG3 - Marfrig;MRFG3;Marfrig;B3
ONCO3 - Oncoclínicas;ONCO3;Oncoclínicas;B3
VAMO3 - Grupo Vamos;VAMO3;Grupo Vamos;B3
VBBR3 - Vibra Energia;VBBR3;Vibra Energia;B3
GMAT3 - Grupo Mateus;GMAT3;Grupo Mateus;B3
BBSE3 - BB Seguridade;BBSE3;BB Seguridade;B3
LWSA3 - Locaweb;LWSA3;Locaweb;B3
CPLE3 - Copel;CPLE3;Copel;B3
TOTS3 - Totvs;TOTS3;Totvs;B3
YDUQ3 - YDUQS;YDUQ3;YDUQS;B3
MOVI3 - Movida;MOVI3;Movida;B3
ALOS3 - Allos;ALOS3;Allos;B3
LJQQ3 - Lojas Quero-Quero;LJQQ3;Lojas Quero-Quero;B3
SLCE3 - SLC Agrícola;SLCE3;SLC Agrícola;B3
GOAU4 - Metalúrgica Gerdau;GOAU4;Metalúrgica Gerdau;B3
SIMH3 - Simpar;SIMH3;Simpar;B3
AURE3 - Auren Energia;AURE3;Auren Energia;B3
QUAL3 - Qualicorp;QUAL3;Qualicorp;B3
STBP3 - Santos Brasil;STBP3;Santos Brasil;B3
ECOR3 - EcoRodovias;ECOR3;EcoRodovias;B3
UGPA3 - Ultrapar;UGPA3;Ultrapar;B3
ALPA4 - Alpargatas;ALPA4;Alpargatas;B3
FLRY3 - Fleury;FLRY3;Fleury;B3
RRRP3 - 3R Petroleum;RRRP3;3R Petroleum;B3
BHIA3 - Casas Bahia;BHIA3;Casas Bahia;B3
CBAV3 - CBA;CBAV3;CBA;B3
BRAP4 - Bradespar;BRAP4;Bradespar;B3
HYPE3 - Hypera;HYPE3;Hypera;B3
AESB3 - AES Brasil;AESB3;AES Brasil;B3
MATD3 - Mater Dei;MATD3;Mater Dei;B3
TRPL4 - Transmissão Paulista;TRPL4;Transmissão Paulista;B3
RAPT4 - Randon;RAPT4;Randon;B3
MULT3 - Multiplan;MULT3;Multiplan;B3
JHSF3 - JHSF;JHSF3;JHSF;B3
VIVT3 - Vivo;VIVT3;Vivo;B3
CXSE3 - Caixa Seguridade;CXSE3;Caixa Seguridade;B3
GGPS3 - GPS;GGPS3;GPS;B3
MLAS3 - Multilaser;MLAS3;Multilaser;B3
BMGB4 - Banco BMG;BMGB4;Banco BMG;B3
TRAD3 - Traders Club;TRAD3;Traders Club;B3
DXCO3 - Dexco;DXCO3;Dexco;B3
VIVA3 - Vivara;VIVA3;Vivara;B3
DIRR3 - Direcional;DIRR3;Direcional;B3
BRKM5 - Braskem;BRKM5;Braskem;B3
TEND3 - Construtora Tenda;TEND3;Construtora Tenda;B3
CPFE3 - CPFL Energia;CPFE3;CPFL Energia;B3
SBFG3 - Grupo SBF;SBFG3;Grupo SBF;B3
GUAR3 - Guararapes;GUAR3;Guararapes;B3
VVEO3 - Viveo;VVEO3;Viveo;B3
ENAT3 - Enauta;ENAT3;Enauta;B3
GFSA3 - Gafisa;GFSA3;Gafisa;B3
ELET6 - Eletrobras;ELET6;Eletrobras;B3
SMFT3 - Smart Fit;SMFT3;Smart Fit;B3
CEAB3 - C&A;CEAB3;C&A;B3
POSI3 - Positivo;POSI3;Positivo;B3
INTB3 - Intelbras;INTB3;Intelbras;B3
EZTC3 - EZTEC;EZTC3;EZTEC;B3
ARZZ3 - Arezzo;ARZZ3;Arezzo;B3
RCSL4 - Recrusul;RCSL4;Recrusul;B3
CURY3 - Cury;CURY3;Cury;B3
BPAN4 - Banco Pan;BPAN4;Banco Pan;B3
OIBR3 - Oi;OIBR3;Oi;B3
RECV3 - PetroRecôncavo;RECV3;PetroRecôncavo;B3
CLSA3 - ClearSale;CLSA3;ClearSale;B3
SRNA3 - Serena Energia;SRNA3;Serena Energia;B3
BRSR6 - Banrisul;BRSR6;Banrisul;B3
KLBN4 - Klabin;KLBN4;Klabin;B3
AZEV3 - Azevedo & Travassos;AZEV3;Azevedo & Travassos;B3
CASH3 - Méliuz;CASH3;Méliuz;B3
KRSA3 - Kora Saúde;KRSA3;Kora Saúde;B3
SAPR4 - Sanepar;SAPR4;Sanepar;B3
SMTO3 - São Martinho;SMTO3;São Martinho;B3
PSSA3 - Porto Seguro;PSSA3;Porto Seguro;B3
EGIE3 - Engie;EGIE3;Engie;B3
MYPK3 - Iochpe-Maxion;MYPK3;Iochpe-Maxion;B3
PLPL3 - Plano&Plano;PLPL3;Plano&Plano;B3
